SKU,Descripción,Stock
1SCA120093R1001,OTM80F3CMA230V MOTORIZED C/O SWITCH,4
GPS1BSAE,GPS1BSAE GUARDAMOTOR 1/2 HP,20
BW225DP,Seccionador IP65 230 415V,64
1SCA022353R4970,OA1G10 AUXILIARY CONTACT,30
BW340TPN,Seccionador 3P 40A IP65 230415V,26
OFAF000H80,OFAF000H80 = 1SCA022627R1470  Fusible 80A Tamaño Din/NH *000 Tipo gG/500V 120kA DIN43620 Usos Generales,9
1SCA022401R3430,OTP25BA3M,79
OTP16BA3M,OTP16BA3M = 1SCA022401R3350  16 Amps Seccionador en Gabinete Plástico OTP IP65 3 polos Manija Amarilla/Roja (16A AC22A 690 Vac) (10A AC23A 690 Vac),30
OTZC23,OTZC23 = 1SCA022767R7120  Kit PUENTES no aislados ( barras) P/OTM tam 2 (315400 A) 3 polos,15
OTM160E3CM110V,OTM160E3CM110V = 1SCA022845R8530  Transferencia IOII Motorizada 160A 3Polos voltaje del motor 110Vac/dc Incluye Manija y conectores agregar separadores de fases PB100 PB200 1SDA05497_R1,1
1SCA022627R1210,OFAF000H50,9
189003,P9EPE03 CAJA PULS. 3 ELEMENTOS,3
189002,P9EPE02 CAJA PULS. 2 ELEMENTOS,2
1SCA022847R1550,OTM400E3CM110V,3
OTZC63,1SCA022868R1100,1
109248,CONTACTOR CL01A310T5 BOBINA,3
1SCA105232R1001,1SCA105232R1001,1
1SCA022401R3780,OTP63BA3M,12
1STQ008318A0000,ED3033 Main Distribution Board,26
1STQ008319A0000,ED3041 Main Distribution Board,24
MC1A310AT5,MINICONTACTORES 3P 9A 1NA 220VCA,6
102617,MC1A310AT1 MINICONTACTOR,11
AFP3FDD,KIT DE MONTAJE PLUG IN P/INT. F RECOR,1
THKMA836800WL,THKMA836800WL INT.SPECTRA 3P 800A 600V,2
THED113020WL,THKMA836800WL INT.TERMOMAG.1P 20A 480V,1
SRN4315K,SRP/CIEGA 300 X400X150,41
OTM125F3CMA230V,OTM125F3CMA230V = 1SCA120070R1001  Transferencia OTM mini Motorizada 3P125A de seccionadores 0+0 voltaje del motor 110220 Vac/dc Incluye Manija y Conectores peso 1.7 kg,12
109463,CONTACTOR CL04A310M3 BOBINA,1
1SCA120095R1001,OTM63F3CMA230V,4
OTM40F3CMA230V,OTM40F3CMA230V = 1SCA120096R1001  Transferencia OTM mini Motorizada 3P40A de seccionadores 0+0 voltaje del motor 110220 Vac/dc Incluye Manija y Conectores peso 1.7 kg,6
1SCA022771R7520,OT200E03CP,2
1SCA022401R3600,OTP45BA3M,80
1SCA022785R7020,OTZC33 tam 3 (630800 A) 3 pol,2
AFP6SKS,TAPAS PARA KIT DE MONTAJE AMC3KMFP,10
AMC3KMFP,KIT SENCILLO PLUGIN P/INT.SKHSKL,2
1SCA113654R1001,TRANSFER. MOTORIZADA 1600AMP,1
1STQ008320A0000,ED3058 Main Distribution Board,23
OHB95J12,OHB95J12 = 1SCA022381R0830  Manija Pistol 95mm negra/roja  Agregar varilla,1
OTP32BA3M,OTP32BA3M = 1SCA022401R3510 Seccionador en Gabinete Plástico OTP 32 Amps IP65 3 polos Manija Amarilla/Roja (40A AC22A 690 Vac),64
OTM315E3CM110V,OTM315E3CM110V = 1SCA022847R1120  Transferencia IOII Motorizada 315A 3Polos voltaje del motor 110Vac/dc Incluye Manija y conectores agregar separadores de fases PB100 PB200 1SDA05497_R1,6
ROSETA,"ROSETA DE PORCELANA DE 4""",98
RP G,ROSETA PLASTICO,24
MACL101AT,BLOQUE DE CONTACTO AUX 1NC LATERAL,8
187001,P9B01VN CONTACTO 1 NC,33
OFAF000H63,OFAF000H63 = 1SCA022627R1390  Fusible 63A Tamaño Din/NH *000 Tipo gG/500V 120kA DIN43620 Usos Generales,9
5BC,TAPA CIEGA AMERICANA,84
G5BC G,GARVIN 5BC SQ COVER BLANK,75
SRN4315067391K,Gabinete SRN4315K + Tmax XT1C 25A 3 Polos con Terminales p/cable (1x70 mm2).,3
